Review Text,Overall Rating,Origin,Destination,Flight Type,Date of Travel,Legroom,Seat Comfort,In-flight Entertainment,Customer Service,Value for Money,Cleanliness,Check-in and Boarding,Food and Beverage
"Disgusting aircraft with broken toilets, limescale, mould. Black mould by my head on the return over-night flight. Food was slop. Only one hot drink for what turned out to be 13 hour flight. Delays on each of the 4 flights. They broke out suitcase and refuse to refund us because we complained online after 7 days i.e. when we got home. We initially complained to them about this at baggage claim at the airport and they just said to claim when we got home- causing us to miss their ridiculous deadline for damage claims. No food, drink or compensation for any of the delays despite over 5hr delay getting home. Staff were miserable apart from 2 who were lovely. Just a really unpleasant experience that we won't be repeating with BA ever again.",1.0,Manchester,Phoenix,International,December 2024,1.0,1.0,5.0,2.0,1.0,1.0,4.0,2.0
It’s unbelievable that BA has such old planes!!! The price you pay for a first class ticket to sit in a seat from 1995. Absolutely terrible.,1.0,London,Johannesburg,International,February 2025,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0
"Awful awful airlines. Bad service on way out and to add insult to injury over booked for the next two flights  home, party split up, unfriendly and unhelpful staff.",1.0,Cork,Cape Town Central,International,February 2025,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0
"I know…air travel is nothing like it used to be! However, I flew economy on two legs from Portugal to the USA on a midweek flight (via Heathrow) and the service and comfort were top notch. Flight attendants were more than doing their jobs. They were attentive to my wife, who was not feeling well. And, they were friendly and saw to passenger needs. Ok, the trip was enhanced by the fact that there were some empty seats that allowed passengers to stretch out more…not the typical cattle car experience of most flights nowadays. Food was quite good, especially on the 9-hr leg to SeaTac.",5.0,Lisbon,Seattle,International,February 2025,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Worst experience, rude and unprofessional staff, I’ve never had a good experience on British Airways and I am sick and tired of it.",1.0,New Delhi,London,International,December 2024,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
"Booked this flight in July 2023 so 7 months before flight so got a reasonable price.

This flight flys from T3 not 5 check in was quick and easy took a few minutes only.

Boarding was good via group number. Plane was A350 while in economy space was ok unless the person in front of you fully reclined their seats, plane was newish and ok.

This was a long flight over 10 hours to Rio over night then 1 1/2 hours in Rio you stay on the plane while people exit and cleaners clean, the flight was full from London and from Rio to Buenos Aires which was another 2 hours from Rio.

Entertainment system was good large choice of films/TV, full meal served after takeoff with a full breakfast before landing, just a hot sandwich from Rio to Buenos Aires which could be improved on.

Crew were good one of the best I have had on BA

Overall a good flight experience",4.0,London,Buenos Aires,International,February 2025,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"Very customer service, cabin crew refused on second meal to help in allowing sleeping person in front to recline their seat up causing us to keep our seat reclined as we are unable to eat sitting up with the seat in front down. This caused conflict between all passengers. Airline staff refused to help or get involved despite paying for so called better seats.",1.0,Cancun,London,International,February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Worst airline ever!!  Avoid!!
They overbooked their flights so they will bump you from either their business class or they will bump you from the flight altogether. They will lose your luggage and then be rude about it. I’ve never had a good experience on British Airways and I am sick and tired of it.",1.0,Innsbruck,Malaga,Europe,February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"We flew business class from London Heathrow to Bangkok via Amman. Unfortunately, the first flight to Amman was with BA. It was delayed by more than 3 hours. We were informed of the delay at the check-in. BA knew that we would miss our connecting flight (Royal Jordanian) to Bangkok but they still let us check-in. When we approached the entrance to the flight cabin, I asked the attendant where the business class was. He said that I was standing in it. Actually, there was no difference to the economy seats. So we wasted our money booking a business class fare. They had just blocked the middle seat. There was not much leg room. We were duped! It was a flight from hell. There were drunkards having a party next to us in the aisle using foul language. When the flight was landing one woman asked for bottles of wine to take to her hotel room. The attendant was reluctant but then he gave up and let her have a couple of bottles. The attendants were supplying endless quantities of alcohol. They should have stopped serving. As we expected we missed our connection. An official at Amman airport wondered why BA let us catch the delayed flight. They could have easily put us on a different flight direct to Bangkok. We were driven to an awful transit hotel near the airport. We stayed there for 24 hours and caught the Royal Jordanian flight to Bangkok. The business class cabin was as it should be. We had a great flight. As soon as we got home in January 2025, my wife wrote a letter of complaint to the BA. They replied after a month thanking her for the feedback. There was no apology or gesture of any goodwill.",1.0,London,Amman,International,December 2024,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0
"A poor experience again from BA. Where do they get these surly, unfriendly and unhappy flight attendants from?
Add to that premium economy seats that are unyielding and uncomfortable and an 11 hour flight is intolerable. 
Don't fly BA! There's better carriers out there.",2.0,Johannesburg,London,International,February 2025,3.0,1.0,4.0,1.0,2.0,4.0,5.0,5.0
"If possible, avoid using British Airways at all cost. Their communication and cooperation will partner airlines is very poor to non-existent. British Airways will show zero interest in trying to solve issues that have arisen due to their incompetence.",1.0,Warsaw,Cork,Europe,February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Overall very poor experience.
We payed for economy and they honored this on our flight from Washington to London. On the flights going between London and Malaga we we assigned seats in the back of the plane both times. 
Our luggage did not arrive with us in Malaga. We received it 30 hours later. Both the email and phone number we were provided when we reported our lost luggage in Malaga were non working.",2.0,Washington DC,Malaga,International,February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Booked with BA had 32kg luggage allowance confirmed on my tickets with my family 32kg each clearly stated and confirmed on my bookings and tickets

Qatar airways charged me excess  baggage stating it should be 23kg 

BA just sent me ab apology and no refund

Do not book via BA and the Qatar code share 

Unbelievable service and the worst customer service from BA and QA check in at T4 

Been a loyal Executive club member for years and they treat you so bad",1.0,London,Doha,International,February 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
"I flew recently from London Heathrow to Seattle, Flight 49, and had the most wonderful experience due to the kindness and profissional attributes of the flight attendant Enrique, a sweet, kind and eager to please crew member that made sure to find me a pair of ear plugs while being extremely busy doing all his shores. He really represents well British Airways values and kindness! I will never forget how pleasant he was with me but also with others that I had the opportunity to watch him interact with. Enrique is a real gem that enhances British Airways with his work, kindness and willingness to be of service. Obrigada, Enrique!",5.0,London,Seattle,International,February 2025,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0
"The longest flight i had with BA was London-Philadelphia. considering this is an 8h flight the plane is just not comfy enough. the seats are narrow and basic legroom., the media screen in fornt of you is very close and you get a headache after a while watching movies. Plus there are some idiotis who lean the seat backwards and it gets even worse spacewise  if you cant afford to buy a descent seat on the isle or window GOOD LUCK sitting in the middle for 8 hours straight.  food OK as taste and quality but way below average as portion. will definitely avoid",1.0,London,Indianapolis,International,February 2025,1.0,1.0,3.0,2.0,1.0,5.0,4.0,1.0
"IMPORTANT
Anyone who has had problems claiming refunds for flights cancelled by British Airways please ensure you keep dates and times of all phone calls, name of persons who you spoke to and ask for an email response. Contact your credit card company and send this information.
After many months of trying deal with their customer service, who in every case try to be as unhelpful as possible and lie. I received a refund of monies due within 24 hours of contacting credit card company.",1.0,London,Kuantan,International,October 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"I had such a bad experience. Wish it were easier to find alternatives to British Airways. My flight was delayed and the cabin crew told us that it was because a member of their staff at the gate made a mistake with the bags, causing my whole journey to be delayed and me to spend a lot more money.

Their advisor suggested a raise a claim which I wasted time doing (I think wasted time as it seems like they rejected my request, but I don't actually know).
They quote 4-8 week turnaround, and it took longer than 8 weeks for them to resolve the claim. I don't know how long in reality because they never sent me the answer. I had to check the website myself to find out it had been 'resolved'.

The experience is quite exhausting and totally rubbish, and soooo disappointing when you think it's supposed to be a premium airline with premium prices.

At least with budget airlines, the prices set you up to receive sub-par standard.",1.0,London,Bordeaux,Europe,November 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"The overall experience with British Airways was good. However, on the way back from London to Boston we have experienced a very unpleasant situation during boarding. The woman who was checking boarding passes was exceptionally rude, she straight out told my husband: “This is not a carry on!” ( referring to the carry on bag that we’ve been traveling with for the past 8 years and never had any issues), my husband was trying to tell her that , but she was continuously talking over him and demanded that the bag needs to be checked in. We were traveling with a small child and that was quite an embarrassing experience, since we had to move his extra clothes and snacks in the middle of the airport. Even though I understand, that sometimes airlines have to mandatory check in carry on luggage, there are way more civil ways to do that. We have never experienced anything like that and we’ve been flying for a long time.By the way, 4 compartments for the carry on luggage were empty during take off. There was no need to put us through this experience. When considering which airline to choose next time we travel or which one to recommend to our friends, I’ll keep this experience in mind.",4.0,London,Boston,International,February 2025,5.0,5.0,5.0,4.0,3.0,4.0,1.0,4.0
"IZZY, a young female flight attendant on BA 0229, Sunday, 23 February made our trip and experience memorable. Izzy is a credit to BA in many ways: she was super, courteous, professional and friendly without being obsequious, as well as cheerful and good natured.  She came back to gave us extra attention (is it our AGE, 77?) and made us feel valued and welcomed. We told her that we visit our son and his family in Bath 2-3 X per year and she really perked up at that news.",4.0,London,Baltimore,International,February 2025,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0
"My return flight from LHR to MIA this month was terrific. After a horrendous LHR to SYD  Business Class trip in December with Etihad, my hesitation to do another long-haul flight so soon was ill-founded. BA was in top form. It was like the Business Class of the old days. Polite, professional and quick to serve. It was an absolute pleasure to fly with them. I have to make a special mention regarding Inflight Lead Loretta Capel. She didn't miss a trick, was delightful, funny and had made the return trip so enjoyable that with more Cabin Crew like her, you'll be The World's Favourite Airline again in no time! Thank you, BA!!!",5.0,Miami,London,International,February 2025,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0
"Sheer impossible to get a simple invoice from them. I need invoices for my company accounting. Not only does BA not offer an automated process such as many competitors do, but even manually requesting it, does not yield an invoice. I have inquired twice manually via their help section only to be resent their booking confirmation over and over again after over a month of wait. Gross incompetence, if you have the chance to avoid them, please consider doing so.",1.0,Berlin,Las Vegas,International,December 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"British Airways has now sunk to Ryanair levels charging crazy money on top to book seats, but unlike Ryanair the BA tickets are premium priced to start with.  We already loads on our tickets to the Dominican Republic at Easter (not gone yet)  and I would have expected better from an airline of BA's standing.  But in order to be assured 4 seats together for the whole family, including an aisle seat for my OH we have had to fork out another £400 (and that's for the cheapest seats).  If I had know in advance I would have avoided BA like the plague.  With BA you pay more for supposedly a better service, but they end up fleecing you for more on top just like their cheaper rivals!  Very disappointing!",1.0,London,Punta Cana,International,February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"My Dad, sister and I travelled to Barbados with British Airways in January 2025. It was our first time travelling in Business and we couldn’t have been happier! The BA lounge at Heathrow was fantastic, with so many options available for breakfast and lunch.

The flight itself was an amazing experience. We were each given a glass of champagne, and a bag filled with goods. In business lounge, you have your own set of headphones for the entertainment. The list of films available was far wider than what was on my last BA trip to India, which was a pleasant surprise.

The flight to Barbados was 9 hours but I’ve been on train rides and Uber journeys in the UK which seemed longer than this flight. There were two meals served, one just before take off and one an hour or so before landing. The food was of good quality. 

We took a night flight on our return to the UK. I rarely sleep on planes but I did on this flight. Again, the flight didn’t seem to be that long, and it was so comfortable. I’m going on Ryanair to France in a month, and I know I will be thinking about the BA flights to and from Barbados!

Thank you BA for a wonderful and unforgettable service!",5.0,London,Bridgetown,International,January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"I had an absolutely terrible experience with British Airways and their so-called 'customer service' that barely exists. Their website is a complete nightmare; it doesn’t show your bookings properly, making it incredibly frustrating to manage your tickets. Changing your flight is next to impossible, and the professionalism of their service is shockingly poor.

Honestly, even EasyJet is miles ahead of British Airways. Their website is user-friendly, allowing you to easily locate your bookings and make changes to names, dates, and even destinations without hassle. You won’t have to deal with unhelpful customer service representatives in India, which is a breath of fresh air.

British Airways is downright inflexible. They refused to change my flight destination or time when I was just 10 minutes late to the airport due to an accident. Instead of providing assistance, they canceled my booking without a second thought. Their customer service is non-existent.

I regret booking multiple flights with them, especially since some were canceled because I couldn’t find them on their app. Their app failed to add my bookings even though I booked well in advance, which left me scrambling to remember my travel plans.

In conclusion, I will never use British Airways again. If you want a reliable travel experience, I highly recommend choosing Ryanair, EasyJet, or Air France instead.",1.0,London,Nice,Europe,February 2025,N/A,N/A,N/A,1.0,1.0,N/A,1.0,N/A
"Flew Business to Japan last summer with the family and just got back from Economy to Doha.  We took an economy flight with Qatar airways after and the difference with BA is night and day.

I’ve always supported BA and loved the companion tickets but really their service is awful.

Qatar airways have fantastic staff, they look wonderful and stylish are kind and charming and energetic and the food is great.  By contrast the BA staff look scruffy and just can be very difficult in all classes when you need something.  Their new thing is for one of the meals to hand out a disgusting pastry lattice thing.  Honestly it’s laughable.  What about a simple sandwich instead?

We sat on the tarmac at T5 for 1 hour and 45mins and again by contrast the Qatar flight left early at Doha 

I ordered tea on the BA flight and got coffee,my husband got nothing as he was in the toilet.  I will actively avoid BA in future",1.0,London,Doha,International,February 2025,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0
No one at BA will care about this BUT what a shamble. Crew on this flight were Lazy. Attitude wrong and basically BA are NOT an Airline to recommend. ( we travelled Zanzibar to Nairobi with Kenya Airways and they were amazing ). Whats the point in paying to travel World Traveller Plus when even getting water proves a chore. As for the food - diabolical. The meal after take off pure rubbish. The breakfast a bacon and tomatoe sort of pie in a box - wet and dough like one end and crunchy the other. Hey Head of BA you try eating this garbage and see if you like it. Honestly Flagship carrier - dont make me laugh. IF YOU HAVE A CHOICE DONT FLY BA. They just take it for granted they dont even have to try. As I say no one will read this review or even care - but utter tripe from start to finish. Tho of course the Pilot was great.,2.0,Nairobi,London,International,February 2025,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0
"Hello,
I had a wonderful experience on my flight from LHR to SAN. The staff was great and I want to personally thank Luiza who was so friendly and helpful I could not have been more impressed. She worked hard to make everyone feel special. Thank you",5.0,London,San Diego,International,February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Awful flight.
Departed late, arrived late 
Ran out of snacks 3 hours into an 11 hour flight.
Ran out of alcoholic drinks after 5 hours
Ran out of food options.
Will never fly BA again they've turned into a cheap skate airline",1.0,London,Cancun,International,February 2025,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0
"BA lost our baggage , we were flying into London during Christmas It took more than two days for our baggage to be finally located and delivered . After reviewing our complaint and finding it justified , promising to send the compensation to our ac ,we have yet to see a penny of it … now being shunted from customer care to complaints and so on and so forth..",1.0,Oslo,London,Europe,November 2024,2.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0
"One of the most arrogant airlines I have ever experienced.
The flight was cancelled at very short notice without explanation at the airport where we were already in the waiting area. Hotel and bus vouchers were issued but the buses were totally overcrowded both to the hotel and back the next morning, so we were forced to take taxis.
These circumstances (flight cancellation, costs incurred) entitle us to compensation from the airline.
We were promised compensation in writing, but we will never receive it, because BA is no longer subject to European law, they can write and promise whatever they want. They don't give a damn.
Also forget Aviclaim, wasted time for zero success.
Clear recommendation: Avoid BA at all costs!",1.0,London,Frankfurt,Europe,September 2024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
I travelled (Today) Friday 21st February 2025 on from Heathrow Airport Terminal 5 17:20 service to Belfast City airport. All was fine in the actual airport and staff at the front of the cabin were welcoming as well as the older lady at the rear of the cabin. The flight was fully boarded and ready for departure and Doors secured. The captain done his usual announcements and said we would be departing the stand in approximately 5 minutes. Ten minutes passed and then the captain came on again saying due to the amount of traffic in the air waiting to enter terminal 5 we would leave the stand in approximately ten minutes. So another twenty minutes passed and eventually we had pushback. Further to this we got pushed back and hit another issue the pushback robot broke down in front of the plane and we had to then wait on engineers coming to solve this issue. We sat just out on the taxi way waiting. The seatbelt lights were on as soon as pushback took place meaning we were all sat waiting. Your cabin crew were seated waiting as well. We sat for a duration of time and during this we were stuck in our seats. The captain then came on and done another announcement saying we should not be much longer but did say he would switch off the engines meaning there would be no air conditioning as this does not function without a fully functional engine in operation. We sat and waited patiently and one of your cabin crew who was working at the rear of the cabin sitting on her jump seat and feet up on the toilet door. The colleague in question had dark hair and slim and hair in a bun who I believe was called Faye. We were all told to put our phones on flight mode prior to even taxiing of the stand. However your colleague Faye must have thought she was exempt sitting on her phone chatting to someone and texting also however passengers were advised to put there phones on flight mode meaning they could only carry out certain tasks on there devices. Personally I found this colleague rude and unprofessional and should be dealt with by your company accordingly. I have travelled with multiple airlines and never experienced poor service like this in my lifetime and unprofessional behaviour by the member of staff as per above. Further to this I feel like economy customers are treated like dirt by some of your colleagues one as per mentioned above and secondly your male colleague on board also who was cabin crew. I witnessed a young lad needing the bathroom after the seat belt sign went off needed the toilet and was basically told he had to use the rear of the aircraft bathroom. I felt that this was very inappropriate no matter what class the young lad was in who was probably no more than ten years old. Imagine if this was your child how would you feel about this? You would not tolerate it. All I am going to say is your two colleagues above require further training and to treat those how they would like to be treated. You show respect you get respect. It shouldn’t matter what class you are we are all paying customers at the end of the day and also we all enter the world the same way and leave the same way it doesn’t matter if you own a mansion or a council house we all still go to the same place at the end of life.,2.0,London,Belfast,Domestic,February 2025,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0
"This is a horrible company!!! I will never use their services. I bought a ticket on their website last month and I never received an email confirmation. I tried to contact them many times and in many ways and no success. Finally, I was able to chat with someone and get a receipt. Their website had issues with my payment, but the payment went through and I requested a refund but they will not do it because the ticket is nonrefundable. I tried getting a refund from my bank but they will not do it. I am very upset because every time I buy a ticket online I receive an email with the confirmation right away, but in this case, I never did and it took me a long time to get the receipt. I don't recommend this company. If their website and their customer service are like this, I don't trust to fly with them ever!!!",1.0,Canton of Geneva,London,Europe,February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"What has happened to BA staff
Yesterday 20.02.2025 myself and my wife flew to Dublin on BA 0826 3.30pm
My was in the middle seat  .unfortunately a man sat down beside her obviously been stewards well and truly drunk . You could smell the drink on his breath .The head flight steward did actually come down before flight to check on him.
Any drinks came round unbelievably  he purchased a glass of wine. 
We arrived at Dublin airport no problem we stayed on till last he passenger s had left  spoke to the steward  to whom spoke to the gentleman. Hes replied he couldn't smell anything and he was told by the gentleman hes got vertigo. 
Unbelievably  its obvious BA staff need more training in whos been drinking to offer more drink.
And to go to Ears Nose clinic s to check theres noses",2.0,London,Dublin,Europe,February 2025,2.0,2.0,1.0,1.0,4.0,4.0,1.0,4.0
Worst airline by far has been over a year since they stranded me at 2am in Stansted with no connection and no accommodation. Have been fighting for over 12 months for my expenses and delay compensation.,1.0,Manchester,Basel,Europe,June 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Not flying with British Airways ever again!! Not recommend for anyone! Lost our 2 checked in bag. 1 has arrived 2 days later totally smashed.  1 never arrived! No compensation whatsoever.  Terrible customer service! 😑 Horrible experience!! 😞,1.0,Budapest,London,Europe,August 2024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Severe safety issues caused flight delay overnight - after we started the takeoff procedures it was determined both main and backup brakes were non functional.  Hours with no information, just running around the airport trying to figure out how we can get our luggage, where to sleep.  Spent many hours over the last six months trying to get the airlines to comply with the EU law and provide compensation.  Nothing but lies and deceipt.",1.0,Washington DC,Lisbon,International,August 2024,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0
"Cramped seating, average service and terrible food.
My wife has Coeliac Disease and although BA did supply the Gluten Free meal we ordered it was very poor and they had no GF snacks available.
Not really good enough on a long flight.",2.0,Male,London,International,February 2025,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0
Worst airline I have ever taken. I did not choose to take it. my original flight got rebooked due to weather. My luggage some were damaged and 5 bags are missing. It has been more than 30 days. Customer service WILL not help and all they say is to go online an file claim/complain. You can not reach customer relations. Do not take British Airways.,1.0,London,Denver,International,January 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"I've traveled extensively in the past. But since I've been disabled, this was my first flight. 

The airline staff was thorough in making sure I was taken care of by verifying my needs in boarding, and while in the airport (each airport provides assistance staff, not the airline). 

I made sure to get a seat as close as possible to the toilet on the plane for the trans-Atlantic leg of my trip. The crew on board made sure to check in with me multiple times to make sure I was able to get there and back. Though it shouldn't be their job (they're not trained caregivers) they offered to help me in walking to the toilet. 

All in all, I must say it was a delight to deal with the British Airways staff on the ground and in the air. They were absolutely the friendliest and most helpful of any I've ever dealt with",5.0,Las Vegas,Stockholm,International,December 2024,4.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0
Delayed more than three hours nd no compenstion nd application took 8 months that i got answer after i email them like 5 times,1.0,London,Bahrain,International,July 2024,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
"Booked via BA phone line, best times was a Qtar flight using BA share codes.

After booking found out Qtar we’re charging £100 less for the same flight.

Made a claim under the BA price guarantee, only to have the claim rejected as I wasn’t flying with BA.

Biggest con going and after changing the rules of the Executive Club, just not to be trusted.",1.0,London,Doha,International,February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"We were travelling as a group of 4 and booked rear seats together (which we’d done previously with another airline) at an additional cost of £200 but when we boarded we found out that these seats didn’t recline.
It hadn’t stated that on the BA website when booking.The cabin manager was very sympathetic but the flight was full so couldn’t move us , therefore we had to endure a 13 hour flight with the row in front reclining onto our laps and we had nowhere to go.It was very 
difficult to eat, drink, watch anything on the screen as it was about 6 inches from our face and definitely couldn’t sleep.The cabin manager advised ground crew and told us where to complain to as they have to deal with this regularly because of the website not stating it doesn’t recline but BA are still reviewing the complaint 3 weeks later to decide wether to issue a refund.
The seats didn’t recline and were the most uncomfortable on any airline I’ve used, the padding on seat was near non existent.
Used BA because of the convenience of flying from LGW but would travel to LHR in future because the experience with BA was appalling.
We changed seats for return flight (at yet more additional cost of £232) but these were just as uncomfortable although they did recline.
Cannot speak to anyone at BA as just get fobbed off that they still reviewing our case.",1.0,London,Ko Samui,International,January 2025,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0
"British airways lost my luggage for 6/7 days I was in London. I was told to purchase essential items and I would be reimbursed. I asked if there was a limit as I was traveling in the middle of winter and it was rainy, so I needed a lot of items. I called everyday asking if they could give me a number of what I would be reimbursed for and they said no. They are now not reimbursing me in full and telling me they use a calculation to get the amount for reimbursement. If you use a calculation, why couldn't you tell me what I would be reimbursed for so I wouldn't go over that amount?? There were also boogers on my tray table and window when I sat down. I had to ask for a sanitary wipe and clean it myself. My headphones wouldn't connect to the TV either. Paid for a business class ticket and it was a complete waste of my money. Now I am down even more due to not being reimbursed for what I bought. Worst customer service ever.",1.0,Dallas,London,International,December 2024,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
